Time period and dataset code row,"Number of people
(thousands)","Economically active  
(thousands)
[note 1]","Employment level 
(thousands) 
[note 2]","Unemployment level 
(thousands) 
[note 2]","Economically inactive 
(thousands) 
[note 3]","Economically active rate 
(%)
","Employment rate
(%)
[note 4]","Unemployment rate 
(%)
[note 4]","Economically inactive rate 
(%)
[note 4]"
Dataset identifier code,MGSL,MGSF,MGRZ,MGSC,MGSI,MGWG,MGSR,MGSX,YBTC
Jan to Mar 1971,"40,513","25,593","24,613",980,"14,919",63.2,60.8,3.8,36.8
Feb to Apr 1971,"40,531","25,573","24,575",998,"14,959",63.1,60.6,3.9,36.9
Mar to May 1971,"40,550","25,582","24,559","1,023","14,968",63.1,60.6,4,36.9
Apr to Jun 1971,"40,568","25,600","24,556","1,045","14,968",63.1,60.5,4.1,36.9
May to Jul 1971,"40,587","25,603","24,541","1,062","14,984",63.1,60.5,4.1,36.9
Jun to Aug 1971,"40,605","25,576","24,508","1,068","15,029",63,60.4,4.2,37
Jul to Sep 1971,"40,618","25,539","24,464","1,076","15,079",62.9,60.2,4.2,37.1
Aug to Oct 1971,"40,631","25,515","24,424","1,090","15,117",62.8,60.1,4.3,37.2
Sep to Nov 1971,"40,645","25,511","24,398","1,113","15,134",62.8,60,4.4,37.2
Oct to Dec 1971,"40,658","25,528","24,395","1,133","15,130",62.8,60,4.4,37.2
Nov to Jan 1972,"40,671","25,560","24,416","1,143","15,111",62.8,60,4.5,37.2
Dec to Feb 1972,"40,684","25,605","24,455","1,149","15,079",62.9,60.1,4.5,37.1
Jan to Mar 1972,"40,697","25,656","24,501","1,155","15,041",63,60.2,4.5,37
Feb to Apr 1972,"40,710","25,690","24,529","1,161","15,020",63.1,60.3,4.5,36.9
Mar to May 1972,"40,723","25,694","24,539","1,155","15,029",63.1,60.3,4.5,36.9
Apr to Jun 1972,"40,736","25,682","24,542","1,140","15,055",63,60.2,4.4,37
May to Jul 1972,"40,750","25,663","24,541","1,122","15,087",63,60.2,4.4,37
Jun to Aug 1972,"40,763","25,664","24,557","1,107","15,099",63,60.2,4.3,37
Jul to Sep 1972,"40,777","25,685","24,585","1,100","15,092",63,60.3,4.3,37
Aug to Oct 1972,"40,792","25,706","24,614","1,092","15,086",63,60.3,4.2,37
Sep to Nov 1972,"40,807","25,728","24,643","1,085","15,079",63,60.4,4.2,37
Oct to Dec 1972,"40,821","25,758","24,689","1,070","15,063",63.1,60.5,4.2,36.9
Nov to Jan 1973,"40,836","25,796","24,748","1,049","15,040",63.2,60.6,4.1,36.8
Dec to Feb 1973,"40,851","25,848","24,825","1,024","15,002",63.3,60.8,4,36.7
Jan to Mar 1973,"40,865","25,904","24,903","1,002","14,961",63.4,60.9,3.9,36.6
Feb to Apr 1973,"40,880","25,949","24,962",987,"14,931",63.5,61.1,3.8,36.5
